Feature ID	Taxon	Confidence
0e34189d89c37ec719fcab4fbbad698d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Capnodiales_fam_Incertae_sedis;g__Arthrocatena;s__Arthrocatena_tenebrio	0.9999878566857111
e2e4fa56ab854a999844fae4458d3a44	k__Fungi	0.9999999999999982
2f6324a61997d6af5c1c1bc0d5a64186	k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7177033869010082
3b94e7af840e4417b8044b5fcbb4722f	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Neosetophoma;s__Neosetophoma_rosarum	0.9740964077616442
ec740de7d692e11bfbcb4a4ff8430e0b	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9949736680758364
608b645b5b10f361567698e21913650c	k__Fungi;p__Basidiomycota;c__unidentified;o__unidentified;f__unidentified;g__unidentified;s__unidentified	0.7662847446735046
53deca7e6a9788c6c61d70e699720045	k__Fungi;p__Basidiomycota;c__Cystobasidiomycetes;o__Erythrobasidiales;f__Erythrobasidiaceae;g__Erythrobasidium;s__Erythrobasidium_yunnanense	0.9905584990959883
21f2542ea968417b44ce87d04e5082bb	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Dothideales;f__Aureobasidiaceae;g__Saccothecium;s__unidentified	0.9861529211801707
512719c9fe92378acd32cf69be038287	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Dissoconiaceae;g__Uwebraunia;s__Uwebraunia_communis	0.7775439399766171
b17e5e86f254601d7a2c8ea1c0db84ac	k__Fungi;p__Basidiomycota;c__Tremellomycetes	0.7108719112547848
b70ae0c7961685b33ed07c1aaf4cda4a	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Lophiostomataceae	0.9834831025398393
241cedf1c6b98f665932dfc6f3bf6cfd	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Dioszegia	0.9999999321661724
371ff9f34b0aecb59387cc225743ff37	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Didymellaceae	0.9952544074569071
8fd9a56d087fcb00e3d689556841153e	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Hannaella;s__Hannaella_zeae	0.9822790042909247
